title,condition,price,sold_date,num_bids,buy_it_now,best_offer
"Original Oakley M Frame Black Sunglasses Extra Lense* With Case, See Pics",Pre-Owned,$79.95,"Sold  Nov 29, 2023Sold Item",,Yes,No
"Oakley M Frame Sunglasses, Grey Frame, Orange Iridium Lens",Pre-Owned,$59.95,"Sold  Nov 29, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 2.0- Clear Lense/ Case/ Oakley Leash,Pre-Owned,$51.00,"Sold  Nov 29, 2023Sold Item",3 bids,No,No
Oakley SI Ballistic M Frame 2.0 Strike Array Frame Black Lense Clear Grey 11-138,Brand New,$66.00,"Sold  Nov 29, 2023Sold Item",8 bids,No,No
Oakley Men's 11-161 M Frame Strike Non-Polarized OO9060 - Black Clear Lenses,New (Other),$92.01,"Sold  Nov 29, 2023Sold Item",,Yes,No
Galaxy Earsocks Rubber Kits For Oakley M Frame Strike/Sweep/Heater/Hybrid Black,New (Other),$5.95,"Sold  Nov 29, 2023Sold Item",,Yes,No
Oakley Pro M Frame Heater & Strike Black Iridium Lenses,Pre-Owned,$160.00,"Sold  Nov 29, 2023Sold Item",1 bid,No,No
OAKLEY ELMONT M LEAD FRAME ONLY SUNGLASSES,Pre-Owned,$40.00,"Sold  Nov 29, 2023Sold Item",,Yes,No
OAKLEY SI M FRAME 2.0 STRIKE CLEAR REPLACEMENT LENS AUTHENTIC Z87 MILITARY,New (Other),$34.99,"Sold  Nov 29, 2023Sold Item",,Yes,No
Oakley M2 Frame Sunglasses OO9212-04 Silver/Fire Iridium,Pre-Owned,$75.00,"Sold  Nov 29, 2023Sold Item",,No,Yes
Oakley Sunglasses M2 Frame XL OO9343-21 Polished Black Prizm Sapphire,Brand New,$130.00,"Sold  Aug 29, 2021Sold Item",,Yes,No
OAKLEY USA Vintage M FRAME Wrap Shield Black Clear Sports Sunglasses 129 mm,Pre-Owned,$79.59,"Sold  Nov 28, 2023Sold Item",,Yes,No
Oakley Standard Issue SI Ballistic M Frame 2.0 Z87 Black Safety Glasses - READ,Pre-Owned,$49.99,"Sold  Nov 28, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame Alpha & Halo Goggle Multi-Lens Kit 00926-1144,Pre-Owned,$150.00,"Sold  Nov 28, 2023Sold Item",5 bids,No,No
Oakley M2 Frame 009343-2045 Men's Black Frame Polarized Prizm Lens Sunglasses,Pre-Owned,$67.99,"Sold  Nov 28, 2023Sold Item",,Yes,No
